,Title,Subject,Grade,StDevSentWdEntropy,AvgWordChEntropy,StDevWordChEntropy,ChNgramEntropy_2,AvgWordWdLen,StDevSentWdLen,AvgWordWdDiffLemma,AvgWordWdPolysemy,AvgWordNmdEnt_person,AvgDocAdjCoh_BLOCK,MidEndCohesion,TransCoh,AvgWordWdMaxDpthHypernymTree
285,Referat ARTA GRECIEI ANTICE,istorie,7.1,0.8852361678654224,1.101124064476605,0.7318607900189162,0.9716527541568574,4.567150635208711,3.2372899450012125,0.4954627949183303,6.3476702508960585,0.022686025408348458,0.3126825594889793,0.08701970100608415,0.5763721290039928,5.885304659498208
286,Referat Hitler si Stalin,istorie,6.03,0.977352348460972,1.0475076364825937,0.708253491383297,0.8250852415764116,4.097872340425532,2.884745859158908,0.4519148936170213,7.612040133779264,0.06553191489361702,0.2869465698949916,0.061411482180227524,0.5764663875739431,5.625418060200668
287,Prima Cruciada,istorie,10.0,0.4289060104211231,1.1052282120524335,0.7103636309199218,0.9272204348713234,4.3849449204406366,3.0608114671008164,0.4920440636474908,6.8660000000000005,0.047735618115055084,0.6594968178954634,0.0,0.7163637081951065,4.96
288,Examene Laborator,biologie,9.0,0.6942082399272691,0.9643203242301408,0.7848037999271655,0.844901208265718,3.987484355444306,3.2517346139317183,0.5807259073842302,6.882882882882883,0.03504380475594493,0.0,0.0,0.7266877442943726,5.662162162162162
289,Osiris,istorie,10.0,0.4672271257267812,1.1066577520660228,0.6834898387275004,0.9573360860540082,4.506276150627616,3.0931375390859785,0.5261506276150628,6.411320754716981,0.05753138075313807,0.6575991683197759,0.6749871032372757,0.7267967821429921,5.860902255639098
290,Referat Carlo Collodi - Pinocchio,romana,4.64,0.950772605069544,1.0731865716556934,0.7406836967997114,0.8572422668984148,4.3196202531645564,3.100755977624668,0.5056962025316456,5.9734299516908225,0.038607594936708865,0.4558269295384649,0.057999158271564676,0.66030514192252,5.661835748792272
291,Sudan,geografie,8.0,0.6881538648659412,1.0770639748345705,0.6973205138417428,0.8891928938656857,4.191011235955056,2.8967591563037502,0.5411985018726592,6.9361702127659575,0.0149812734082397,0.4984701495497358,0.49827740496639794,0.0,5.7304964539007095
292,Luparu Scrisoare,romana,10.0,0.5865330402278722,1.0933245952628523,0.7233152526522476,0.9473852588546304,4.502930832356388,3.2081986142532712,0.4947245017584994,5.855855855855856,0.044548651817116064,0.6215319369135469,0.5992635223326086,0.0,6.09009009009009
293,Italia2,geografie,9.0,0.8371720536538205,1.0871577582663172,0.7407696526332569,0.8693228022713416,4.436298932384342,3.166053556756581,0.4483985765124555,5.524079320113313,0.03131672597864769,0.3311572908353252,0.23538886611003745,0.20391291722332702,4.747875354107649
294,Referat Romanul adolescentului miop - Povestire,romana,6.05,1.1251088280885229,1.0936795959766876,0.7003245458444898,0.9248974177701466,4.456121343445288,3.231651511330204,0.4496208017334778,5.956175298804782,0.05958829902491875,0.3669840317165938,0.1041280500473782,0.6055486207530177,5.561752988047808
295,Apele Reziduale,geografie,9.0,0.569361077213825,1.1559559005374662,0.706485202413014,1.0121534119746096,4.739303482587066,3.2433962194423054,0.582089552238806,6.061919504643963,0.005970149253731343,0.5537768611635553,0.2792875224829323,0.6140248775311272,6.1114551083591335
296,Referat Portretul lui Stefan cel Mare,romana,8.33,0.8736352454743461,1.077207261886879,0.6303319262284225,0.7867745047679666,4.143192488262911,2.770544757737329,0.943661971830986,7.586206896551723,0.01643192488262911,0.08825620381019084,0.01482061650508326,-0.0018773718923171773,4.310344827586206
